#r(A)          g(r)_raw       g(r)_smooth       Base
   15.1750      7.1397376      6.7369413      6.4767592
   15.2250      7.0532945      6.8788845      6.4422756
   15.2750      7.1034233      6.8601214      6.4070539
   15.3250      6.7095044      6.6229037      6.3710646
   15.3750      6.2946471      6.3901784      6.3345612
   15.4250      5.9536491      6.1762672      6.2978664
   15.4750      5.8896683      6.1158643      6.2612823
   15.5250      6.0338673      6.2849142      6.2247935
   15.5750      6.4074895      6.5122376      6.1882649
   15.6250      7.1398966      6.7573863      6.1515171
   15.6750      7.0902661      6.9655087      6.1140393
   15.7250      7.1154122      7.0427067      6.0758041
   15.7750      7.0744792      6.8684966      6.0365763
   15.8250      6.7934796      6.6681822      5.9964145
   15.8750      6.2688460      6.4080383      5.9552077
   15.9250      6.0886941      6.1385025      5.9132488
   15.9750      5.8146929      5.9220021      5.8708075
   16.0250      5.7268000      5.8182711      5.8279859
   16.0750      5.7109774      5.7676566      5.7850754
   16.1250      5.7501912      5.7902470      5.7421276
   16.1750      5.8356216      5.8185192      5.6996841
   16.2250      5.9276450      5.8152057      5.6578489
   16.2750      5.8681610      5.8275538      5.6168429
   16.3250      5.6944095      5.8785471      5.5763813
   16.3750      5.8119321      5.8736729      5.5364766
   16.4250      6.0905881      5.9587726      5.4965624
   16.4750      5.9032737      6.1304770      5.4565852
   16.5250      6.2936598      6.2353574      5.4166239
   16.5750      6.5529313      6.1396456      5.3764538
   16.6250      6.3363344      6.0440486      5.3360926
   16.6750      5.6120291      5.8022607      5.2958306
   16.7250      5.4252884      5.4211048      5.2562734
   16.7750      5.0847203      4.9989229      5.2173285
   16.8250      4.6471520      4.7180413      5.1793884
   16.8750      4.2254246      4.4738080      5.1423339
   16.9250      4.2076214      4.2667011      5.1063254
   16.9750      4.2041215      4.2074801      5.0713255
   17.0250      4.0491858      4.2163945      5.0370460
   17.0750      4.3510474      4.1429452      5.0033814
   17.1250      4.2699964      4.0774383      4.9700817
   17.1750      3.8403747      4.0815272      4.9368887
   17.2250      3.8765873      4.0055920      4.9040332
   17.2750      4.0696303      3.9629380      4.8712179
   17.3250      3.9713711      4.0250874      4.8383099
   17.3750      4.0567265      4.1467696      4.8052572
   17.4250      4.1511220      4.2001420      4.7719955
   17.4750      4.4849980      4.3495193      4.7384844
   17.5250      4.3364922      4.5126182      4.7045599
   17.5750      4.7182576      4.6402256      4.6704820
   17.6250      4.8722213      4.7690757      4.6360594
   17.6750      4.7891588      4.9238019      4.6012942
   17.7250      5.1292486      5.0015887      4.5665102
   17.7750      5.1101232      5.0339329      4.5316736
   17.8250      5.1071917      5.1033267      4.4967705
   17.8750      5.0339422      5.1312142      4.4618084
   17.9250      5.1361276      5.0936371      4.4266189
   17.9750      5.2686865      4.9956031      4.3909597
   18.0250      4.9222374      4.8760652      4.3546558
   18.0750      4.6170219      4.7466630      4.3179474
   18.1250      4.4362528      4.5839859      4.2811496
   18.1750      4.4891166      4.5077314      4.2445139
   18.2250      4.4553009      4.4273950      4.2082649
   18.2750      4.5409649      4.4433155      4.1723642
   18.3250      4.2153400      4.3547822      4.1367217
   18.3750      4.5158552      4.2823916      4.1015861
   18.4250      4.0464500      4.0968585      4.0665489
   18.4750      4.0933480      3.9548176      4.0317218
   18.5250      3.6132995      3.7477380      3.9970636
   18.5750      3.5051355      3.6998784      3.9627708
   18.6250      3.4804572      3.6176210      3.9288989
   18.6750      3.8071517      3.6737800      3.8954172
   18.7250      3.6820610      3.7318888      3.8621150
   18.7750      3.8940947      3.8230007      3.8290808
   18.8250      3.7956796      3.7859194      3.7962536
   18.8750      3.9360166      3.7830827      3.7636545
   18.9250      3.6217451      3.7232738      3.7310935
   18.9750      3.6678775      3.7321153      3.6987904
   19.0250      3.5950502      3.7005084      3.6667554
