#r(A)          g(r)_raw       g(r)_smooth       Base
   22.0250      0.9499514      0.9508580      1.0003853
   22.0750      0.9527808      0.9521644      1.0003823
   22.1250      0.9521829      0.9538797      1.0003713
   22.1750      0.9550306      0.9571878      1.0003574
   22.2250      0.9594528      0.9608427      1.0003411
   22.2750      0.9664919      0.9669791      1.0003257
   22.3250      0.9710551      0.9743501      1.0003088
   22.3750      0.9828652      0.9827483      1.0002925
   22.4250      0.9918856      0.9918123      1.0002743
   22.4750      1.0014436      1.0027374      1.0002554
   22.5250      1.0118122      1.0120913      1.0002380
   22.5750      1.0256804      1.0220561      1.0002189
   22.6250      1.0296347      1.0310928      1.0001932
   22.6750      1.0417095      1.0384083      1.0001655
   22.7250      1.0466271      1.0426350      1.0001319
   22.7750      1.0483895      1.0453250      1.0000939
   22.8250      1.0468142      1.0450034      1.0000514
   22.8750      1.0430846      1.0426204      1.0000082
   22.9250      1.0401014      1.0396602      0.9999692
   22.9750      1.0347124      1.0363962      0.9999363
   23.0250      1.0335882      1.0322765      0.9999147
   23.0750      1.0304944      1.0280488      0.9999026
   23.1250      1.0224862      1.0235452      0.9999034
   23.1750      1.0189627      1.0186860      0.9999213
   23.2250      1.0121943      1.0138609      0.9999571
   23.2750      1.0092925      1.0099051      1.0000105
   23.3250      1.0063685      1.0066889      1.0000789
   23.3750      1.0027076      1.0057099      1.0001592
   23.4250      1.0028817      1.0057921      1.0002505
   23.4750      1.0072990      1.0074077      1.0003507
   23.5250      1.0097035      1.0105831      1.0004533
   23.5750      1.0144465      1.0149271      1.0005538
   23.6250      1.0185847      1.0186501      1.0006453
   23.6750      1.0246019      1.0229508      1.0007219
   23.7250      1.0259137      1.0254242      1.0007765
   23.7750      1.0312070      1.0261765      1.0008060
   23.8250      1.0268139      1.0241999      1.0008040
   23.8750      1.0223462      1.0206753      1.0007705
   23.9250      1.0147187      1.0139063      1.0007047
   23.9750      1.0082906      1.0060399      1.0006101
   24.0250      0.9973620      0.9967637      1.0004897
   24.0750      0.9874821      0.9866019      1.0003487
   24.1250      0.9759649      0.9753254      1.0001920
   24.1750      0.9639099      0.9648330      1.0000260
   24.2250      0.9519081      0.9541034      0.9998586
   24.2750      0.9448997      0.9441025      0.9996956
   24.3250      0.9338342      0.9355559      0.9995419
   24.3750      0.9259606      0.9286033      0.9994050
   24.4250      0.9211767      0.9238915      0.9992899
   24.4750      0.9171451      0.9220925      0.9991995
   24.5250      0.9213407      0.9240228      0.9991398
   24.5750      0.9248393      0.9286899      0.9991139
   24.6250      0.9356123      0.9360517      0.9991219
   24.6750      0.9445119      0.9460379      0.9991622
   24.7250      0.9539541      0.9581440      0.9992319
   24.7750      0.9712717      0.9710504      0.9993295
   24.8250      0.9853698      0.9845780      0.9994483
