  #r(A)    Histogram   Baseline       PDF
  2.620     0.05163     0.01671     0.32830
  2.630     0.05377     0.01680     0.34762
  2.640     0.05521     0.01687     0.36045
  2.650     0.05629     0.01693     0.37001
  2.660     0.05727     0.01698     0.37880
  2.670     0.05764     0.01703     0.38180
  2.680     0.05771     0.01706     0.38220
  2.690     0.05725     0.01708     0.37772
  2.700     0.05622     0.01709     0.36787
  2.710     0.05543     0.01709     0.36047
  2.720     0.05430     0.01708     0.35000
  2.730     0.05284     0.01706     0.33647
  2.740     0.05120     0.01703     0.32124
  2.750     0.04934     0.01699     0.30416
  2.760     0.04715     0.01695     0.28394
  2.770     0.04484     0.01689     0.26272
  2.780     0.04232     0.01683     0.23967
  2.790     0.04019     0.01676     0.22022
  2.800     0.03781     0.01669     0.19861
  2.810     0.03592     0.01661     0.18154
  2.820     0.03346     0.01652     0.15929
  2.830     0.03127     0.01643     0.13954
  2.840     0.02891     0.01634     0.11825
  2.850     0.02650     0.01624     0.09647
  2.860     0.02423     0.01614     0.07611
  2.870     0.02221     0.01603     0.05807
  2.880     0.02034     0.01592     0.04154
  2.890     0.01869     0.01581     0.02703
  2.900     0.01680     0.01570     0.01033
  2.910     0.01517     0.01559    -0.00395
  2.920     0.01359     0.01547    -0.01766
  2.930     0.01203     0.01535    -0.03126
  2.940     0.01052     0.01523    -0.04430
  2.950     0.00942     0.01511    -0.05352
  2.960     0.00850     0.01499    -0.06108
  2.970     0.00751     0.01487    -0.06920
  2.980     0.00670     0.01475    -0.07571
  2.990     0.00600     0.01463    -0.08120
  3.000     0.00542     0.01451    -0.08549
  3.010     0.00494     0.01439    -0.08886
  3.020     0.00443     0.01427    -0.09248
  3.030     0.00400     0.01415    -0.09543
  3.040     0.00366     0.01402    -0.09748
  3.050     0.00326     0.01390    -0.10002
  3.060     0.00296     0.01378    -0.10174
  3.070     0.00262     0.01366    -0.10382
  3.080     0.00236     0.01354    -0.10506
  3.090     0.00223     0.01341    -0.10513
  3.100     0.00202     0.01329    -0.10593
  3.110     0.00186     0.01317    -0.10629
  3.120     0.00172     0.01305    -0.10645
  3.130     0.00155     0.01293    -0.10691
  3.140     0.00140     0.01280    -0.10723
  3.150     0.00125     0.01268    -0.10742
  3.160     0.00114     0.01256    -0.10731
  3.170     0.00100     0.01244    -0.10751
  3.180     0.00093     0.01231    -0.10705
  3.190     0.00085     0.01219    -0.10662
  3.200     0.00077     0.01207    -0.10621
  3.210     0.00071     0.01195    -0.10568
  3.220     0.00066     0.01182    -0.10502
  3.230     0.00061     0.01170    -0.10430
  3.240     0.00061     0.01158    -0.10318
  3.250     0.00061     0.01146    -0.10200
  3.260     0.00062     0.01134    -0.10081
  3.270     0.00063     0.01122    -0.09957
  3.280     0.00059     0.01110    -0.09873
  3.290     0.00057     0.01097    -0.09784
  3.300     0.00061     0.01085    -0.09633
  3.310     0.00059     0.01073    -0.09532
  3.320     0.00062     0.01061    -0.09394
  3.330     0.00065     0.01049    -0.09255
  3.340     0.00068     0.01037    -0.09111
  3.350     0.00070     0.01026    -0.08979
  3.360     0.00077     0.01014    -0.08810
  3.370     0.00078     0.01002    -0.08684
  3.380     0.00080     0.00990    -0.08560
  3.390     0.00082     0.00979    -0.08431
  3.400     0.00089     0.00967    -0.08255
  3.410     0.00098     0.00956    -0.08070
  3.420     0.00107     0.00945    -0.07880
  3.430     0.00108     0.00934    -0.07763
  3.440     0.00126     0.00923    -0.07497
  3.450     0.00135     0.00912    -0.07308
  3.460     0.00143     0.00902    -0.07134
  3.470     0.00158     0.00892    -0.06904
  3.480     0.00188     0.00882    -0.06522
  3.490     0.00208     0.00873    -0.06245
  3.500     0.00244     0.00863    -0.05823
  3.510     0.00270     0.00855    -0.05493
  3.520     0.00297     0.00846    -0.05163
  3.530     0.00320     0.00838    -0.04874
  3.540     0.00363     0.00831    -0.04397
  3.550     0.00403     0.00824    -0.03961
  3.560     0.00447     0.00818    -0.03494
  3.570     0.00488     0.00813    -0.03050
  3.580     0.00529     0.00808    -0.02627
  3.590     0.00562     0.00804    -0.02275
  3.600     0.00605     0.00801    -0.01842
  3.610     0.00644     0.00798    -0.01447
  3.620     0.00704     0.00796    -0.00867
  3.630     0.00746     0.00796    -0.00465
  3.640     0.00816     0.00796     0.00193
  3.650     0.00867     0.00797     0.00664
  3.660     0.00908     0.00798     0.01026
  3.670     0.00957     0.00801     0.01460
  3.680     0.01013     0.00805     0.01960
  3.690     0.01085     0.00810     0.02588
  3.700     0.01153     0.00815     0.03180
  3.710     0.01218     0.00821     0.03733
  3.720     0.01271     0.00829     0.04158
  3.730     0.01309     0.00837     0.04441
  3.740     0.01384     0.00845     0.05060
  3.750     0.01420     0.00855     0.05316
  3.760     0.01460     0.00865     0.05600
  3.770     0.01498     0.00875     0.05848
  3.780     0.01546     0.00887     0.06201
  3.790     0.01598     0.00899     0.06580
  3.800     0.01603     0.00911     0.06505
  3.810     0.01611     0.00923     0.06465
  3.820     0.01615     0.00937     0.06383
  3.830     0.01625     0.00950     0.06346
  3.840     0.01639     0.00964     0.06349
  3.850     0.01615     0.00978     0.05995
  3.860     0.01598     0.00992     0.05700
  3.870     0.01557     0.01006     0.05185
  3.880     0.01518     0.01020     0.04679
  3.890     0.01465     0.01035     0.04041
  3.900     0.01401     0.01049     0.03306
  3.910     0.01361     0.01064     0.02792
  3.920     0.01318     0.01079     0.02253
  3.930     0.01273     0.01093     0.01684
  3.940     0.01206     0.01108     0.00922
  3.950     0.01133     0.01123     0.00095
  3.960     0.01079     0.01138    -0.00554
  3.970     0.01014     0.01152    -0.01306
  3.980     0.00977     0.01167    -0.01791
  3.990     0.00936     0.01182    -0.02306
  4.000     0.00881     0.01196    -0.02963
  4.010     0.00826     0.01211    -0.03619
  4.020     0.00775     0.01225    -0.04236
  4.030     0.00713     0.01240    -0.04948
  4.040     0.00663     0.01254    -0.05555
  4.050     0.00621     0.01269    -0.06093
  4.060     0.00574     0.01283    -0.06662
  4.070     0.00520     0.01297    -0.07307
  4.080     0.00481     0.01312    -0.07810
  4.090     0.00440     0.01326    -0.08332
  4.100     0.00402     0.01340    -0.08819
  4.110     0.00371     0.01355    -0.09249
  4.120     0.00345     0.01369    -0.09629
  4.130     0.00316     0.01383    -0.10032
  4.140     0.00286     0.01398    -0.10450
  4.150     0.00266     0.01412    -0.10774
  4.160     0.00258     0.01427    -0.10985
  4.170     0.00247     0.01441    -0.11223
  4.180     0.00240     0.01456    -0.11433
  4.190     0.00243     0.01470    -0.11541
  4.200     0.00234     0.01485    -0.11765
  4.210     0.00230     0.01500    -0.11941
  4.220     0.00236     0.01515    -0.12019
  4.230     0.00229     0.01530    -0.12231
  4.240     0.00239     0.01545    -0.12278
  4.250     0.00257     0.01560    -0.12254
  4.260     0.00265     0.01575    -0.12321
  4.270     0.00278     0.01591    -0.12343
  4.280     0.00294     0.01606    -0.12334
  4.290     0.00320     0.01622    -0.12241
  4.300     0.00358     0.01638    -0.12034
  4.310     0.00418     0.01654    -0.11618
  4.320     0.00471     0.01670    -0.11274
  4.330     0.00524     0.01686    -0.10924
  4.340     0.00591     0.01702    -0.10446
  4.350     0.00647     0.01719    -0.10073
  4.360     0.00733     0.01735    -0.09422
  4.370     0.00819     0.01752    -0.08769
  4.380     0.00911     0.01768    -0.08057
  4.390     0.01024     0.01785    -0.07158
  4.400     0.01144     0.01802    -0.06183
  4.410     0.01259     0.01819    -0.05257
  4.420     0.01372     0.01835    -0.04354
  4.430     0.01503     0.01852    -0.03281
  4.440     0.01648     0.01869    -0.02077
  4.450     0.01812     0.01885    -0.00686
  4.460     0.01982     0.01902     0.00759
  4.470     0.02151     0.01918     0.02197
  4.480     0.02309     0.01934     0.03525
  4.490     0.02492     0.01950     0.05100
  4.500     0.02663     0.01965     0.06559
  4.510     0.02861     0.01980     0.08277
  4.520     0.03091     0.01995     0.10302
  4.530     0.03298     0.02009     0.12120
  4.540     0.03492     0.02023     0.13808
  4.550     0.03686     0.02036     0.15509
  4.560     0.03866     0.02049     0.17076
  4.570     0.04069     0.02062     0.18869
  4.580     0.04241     0.02073     0.20380
  4.590     0.04429     0.02084     0.22049
  4.600     0.04602     0.02094     0.23576
  4.610     0.04755     0.02103     0.24929
  4.620     0.04874     0.02112     0.25972
  4.630     0.04951     0.02120     0.26616
  4.640     0.05026     0.02127     0.27256
  4.650     0.05102     0.02133     0.27919
  4.660     0.05166     0.02138     0.28473
  4.670     0.05207     0.02142     0.28814
  4.680     0.05184     0.02146     0.28566
  4.690     0.05171     0.02148     0.28415
  4.700     0.05114     0.02150     0.27865
  4.710     0.05041     0.02151     0.27173
  4.720     0.04953     0.02151     0.26344
  4.730     0.04851     0.02150     0.25395
  4.740     0.04712     0.02149     0.24095
  4.750     0.04556     0.02147     0.22651
  4.760     0.04408     0.02144     0.21290
  4.770     0.04233     0.02140     0.19673
  4.780     0.04060     0.02136     0.18086
  4.790     0.03887     0.02131     0.16503
  4.800     0.03683     0.02126     0.14638
  4.810     0.03497     0.02121     0.12937
  4.820     0.03304     0.02115     0.11174
  4.830     0.03123     0.02109     0.09534
  4.840     0.02912     0.02102     0.07608
  4.850     0.02740     0.02096     0.06058
  4.860     0.02577     0.02089     0.04594
  4.870     0.02391     0.02082     0.02905
  4.880     0.02227     0.02075     0.01430
  4.890     0.02046     0.02067    -0.00199
  4.900     0.01893     0.02060    -0.01569
  4.910     0.01747     0.02053    -0.02874
  4.920     0.01627     0.02046    -0.03937
  4.930     0.01490     0.02039    -0.05163
  4.940     0.01364     0.02032    -0.06281
  4.950     0.01269     0.02026    -0.07112
  4.960     0.01168     0.02019    -0.08001
  4.970     0.01082     0.02013    -0.08752
  4.980     0.01001     0.02007    -0.09452
  4.990     0.00912     0.02001    -0.10239
  5.000     0.00863     0.01995    -0.10643
  5.010     0.00797     0.01990    -0.11215
  5.020     0.00763     0.01985    -0.11494
  5.030     0.00719     0.01981    -0.11864
  5.040     0.00683     0.01976    -0.12156
  5.050     0.00649     0.01972    -0.12442
  5.060     0.00638     0.01969    -0.12506
  5.070     0.00625     0.01965    -0.12598
  5.080     0.00630     0.01962    -0.12524
  5.090     0.00626     0.01959    -0.12535
  5.100     0.00643     0.01957    -0.12351
  5.110     0.00654     0.01954    -0.12226
  5.120     0.00689     0.01952    -0.11873
  5.130     0.00710     0.01950    -0.11658
  5.140     0.00743     0.01949    -0.11337
  5.150     0.00792     0.01947    -0.10862
  5.160     0.00855     0.01946    -0.10252
  5.170     0.00912     0.01945    -0.09713
  5.180     0.00971     0.01944    -0.09143
  5.190     0.01031     0.01943    -0.08570
  5.200     0.01110     0.01942    -0.07821
  5.210     0.01170     0.01941    -0.07247
  5.220     0.01237     0.01940    -0.06611
  5.230     0.01312     0.01939    -0.05896
  5.240     0.01410     0.01938    -0.04965
  5.250     0.01482     0.01937    -0.04274
  5.260     0.01560     0.01935    -0.03528
  5.270     0.01634     0.01934    -0.02824
  5.280     0.01698     0.01933    -0.02209
  5.290     0.01773     0.01931    -0.01482
  5.300     0.01823     0.01929    -0.00997
  5.310     0.01883     0.01927    -0.00418
  5.320     0.01972     0.01925     0.00442
  5.330     0.02022     0.01922     0.00939
  5.340     0.02060     0.01919     0.01320
  5.350     0.02078     0.01916     0.01519
  5.360     0.02115     0.01913     0.01897
  5.370     0.02147     0.01909     0.02235
  5.380     0.02159     0.01905     0.02388
  5.390     0.02179     0.01901     0.02609
  5.400     0.02177     0.01897     0.02635
  5.410     0.02188     0.01892     0.02781
  5.420     0.02179     0.01887     0.02743
  5.430     0.02128     0.01882     0.02317
  5.440     0.02105     0.01876     0.02151
  5.450     0.02071     0.01871     0.01878
  5.460     0.02024     0.01865     0.01494
  5.470     0.01978     0.01859     0.01120
  5.480     0.01909     0.01853     0.00526
  5.490     0.01852     0.01847     0.00040
  5.500     0.01774     0.01841    -0.00631
  5.510     0.01714     0.01835    -0.01137
  5.520     0.01635     0.01829    -0.01828
  5.530     0.01560     0.01823    -0.02475
  5.540     0.01483     0.01817    -0.03140
  5.550     0.01410     0.01811    -0.03778
  5.560     0.01329     0.01806    -0.04481
  5.570     0.01261     0.01800    -0.05070
  5.580     0.01188     0.01795    -0.05710
