  #r(A)    Histogram   Baseline       PDF
 10.100     0.22818     0.05882     0.29709
 10.120     0.22818     0.05866     0.29736
 10.140     0.00000     0.05850    -0.10262
 10.160     0.00000     0.05835    -0.10234
 10.180     0.00000     0.05819    -0.10207
 10.200     0.00000     0.05803    -0.10179
 10.220     0.00000     0.05787    -0.10152
 10.240     0.00000     0.05772    -0.10124
 10.260     0.00000     0.05756    -0.10097
 10.280     0.00000     0.05740    -0.10069
 10.300     0.00000     0.05725    -0.10042
 10.320     0.00000     0.05709    -0.10014
 10.340     0.00000     0.05693    -0.09987
 10.360     0.00000     0.05678    -0.09959
 10.380     0.00000     0.05679    -0.09961
 10.400     0.00000     0.05680    -0.09963
 10.420     0.00000     0.05681    -0.09965
 10.440     0.00000     0.05688    -0.09977
 10.460     0.00000     0.05694    -0.09988
 10.480     0.00000     0.05701    -0.10000
 10.500     0.00000     0.05707    -0.10011
 10.520     0.00000     0.05714    -0.10022
 10.540     0.00000     0.05720    -0.10034
 10.560     0.00000     0.05727    -0.10045
 10.580     0.00000     0.05733    -0.10057
 10.600     0.00000     0.05740    -0.10068
 10.620     0.00000     0.05746    -0.10079
 10.640     0.00000     0.05753    -0.10091
 10.660     0.13259     0.05759     0.13156
 10.680     0.13259     0.05766     0.13144
 10.700     0.13259     0.05772     0.13133
 10.720     0.13259     0.05779     0.13122
 10.740     0.13259     0.05795     0.13093
 10.760     0.13259     0.05812     0.13064
 10.780     0.13259     0.05800     0.13085
 10.800     0.13259     0.05788     0.13106
 10.820     0.13259     0.05775     0.13127
 10.840     0.13259     0.05774     0.13130
 10.860     0.13259     0.05772     0.13133
 10.880     0.00000     0.05770    -0.10122
 10.900     0.00000     0.05768    -0.10118
 10.920     0.00000     0.05767    -0.10115
 10.940     0.00000     0.05765    -0.10112
 10.960     0.00000     0.05763    -0.10109
 10.980     0.00000     0.05761    -0.10106
 11.000     0.00000     0.05760    -0.10103
 11.020     0.03080     0.05758    -0.04698
 11.040     0.03080     0.05761    -0.04703
 11.060     0.03080     0.05764    -0.04708
 11.080     0.03080     0.05767    -0.04714
 11.100     0.03080     0.05770    -0.04719
 11.120     0.03080     0.05773    -0.04724
 11.140     0.03080     0.05769    -0.04718
 11.160     0.03080     0.05766    -0.04711
 11.180     0.03080     0.05762    -0.04705
 11.200     0.03080     0.05758    -0.04698
 11.220     0.03080     0.05755    -0.04692
