 #r(A)        ρ(r)_raw       ρ_smooth(r)         Base
    6.5500      0.1453369      0.1477554      0.0615751
    6.5700      0.1686244      0.1554800      0.0615686
    6.5900      0.1654700      0.1609139      0.0615386
    6.6100      0.1640463      0.1615540      0.0614858
    6.6300      0.1610919      0.1530569      0.0614109
    6.6500      0.1485373      0.1426400      0.0613136
    6.6700      0.1261390      0.1284512      0.0611965
    6.6900      0.1133853      0.1122894      0.0610634
    6.7100      0.0931026      0.0970259      0.0609168
    6.7300      0.0802828      0.0833821      0.0607603
    6.7500      0.0722199      0.0717924      0.0605956
    6.7700      0.0579200      0.0614786      0.0604244
    6.7900      0.0554368      0.0528331      0.0602499
    6.8100      0.0415334      0.0442835      0.0600733
    6.8300      0.0370556      0.0388996      0.0598986
    6.8500      0.0294716      0.0337424      0.0597270
    6.8700      0.0310007      0.0307627      0.0595615
    6.8900      0.0296506      0.0296505      0.0594030
    6.9100      0.0266347      0.0291498      0.0592529
    6.9300      0.0314947      0.0285411      0.0591136
    6.9500      0.0269681      0.0288275      0.0589862
    6.9700      0.0279572      0.0302093      0.0588721
    6.9900      0.0310826      0.0302562      0.0587714
    7.0100      0.0335438      0.0321165      0.0586842
    7.0300      0.0317293      0.0336392      0.0586087
    7.0500      0.0362695      0.0342756      0.0585447
    7.0700      0.0355706      0.0338440      0.0584892
    7.0900      0.0342649      0.0338372      0.0584416
    7.1100      0.0313857      0.0324523      0.0583996
    7.1300      0.0316956      0.0311024      0.0583623
    7.1500      0.0293448      0.0298144      0.0583284
    7.1700      0.0288211      0.0299978      0.0582965
    7.1900      0.0278250      0.0296111      0.0582658
    7.2100      0.0323025      0.0300140      0.0582364
    7.2300      0.0297619      0.0306275      0.0582062
    7.2500      0.0313597      0.0330083      0.0581755
    7.2700      0.0318883      0.0349354      0.0581438
    7.2900      0.0397291      0.0379914      0.0581106
    7.3100      0.0419381      0.0428273      0.0580740
    7.3300      0.0450418      0.0493840      0.0580339
    7.3500      0.0555391      0.0567443      0.0579905
    7.3700      0.0646717      0.0636478      0.0579417
    7.3900      0.0765309      0.0706983      0.0578861
    7.4100      0.0764557      0.0783440      0.0578211
    7.4300      0.0802942      0.0837973      0.0577483
    7.4500      0.0937675      0.0871109      0.0576674
    7.4700      0.0919384      0.0905594      0.0575771
    7.4900      0.0930988      0.0913552      0.0574787
    7.5100      0.0936982      0.0889555      0.0573733
    7.5300      0.0842730      0.0848747      0.0572622
    7.5500      0.0817693      0.0797577      0.0571495
    7.5700      0.0715342      0.0719342      0.0570366
    7.5900      0.0675141      0.0644752      0.0569270
    7.6100      0.0545805      0.0564551      0.0568223
    7.6300      0.0469777      0.0512362      0.0567245
    7.6500      0.0416688      0.0455213      0.0566361
    7.6700      0.0454396      0.0424774      0.0565564
    7.6900      0.0389398      0.0415746      0.0564838
    7.7100      0.0393611      0.0423477      0.0564181
    7.7300      0.0424639      0.0428925      0.0563570
    7.7500      0.0455342      0.0458068      0.0562992
    7.7700      0.0481633      0.0498170      0.0562428
    7.7900      0.0535116      0.0532668      0.0561861
    7.8100      0.0594119      0.0571237      0.0561270
    7.8300      0.0597129      0.0606881      0.0560635
    7.8500      0.0648190      0.0626598      0.0559957
    7.8700      0.0659851      0.0637821      0.0559215
    7.8900      0.0633701      0.0648768      0.0558407
    7.9100      0.0650234      0.0644160      0.0557541
    7.9300      0.0651867      0.0627457      0.0556612
    7.9500      0.0625148      0.0602836      0.0555618
    7.9700      0.0576335      0.0562853      0.0554566
    7.9900      0.0510596      0.0513286      0.0553468
    8.0100      0.0450317      0.0469615      0.0552337
    8.0300      0.0404035      0.0430374      0.0551188
    8.0500      0.0406793      0.0401642      0.0550031
    8.0700      0.0380132      0.0390424      0.0548873
    8.0900      0.0366936      0.0386954      0.0547725
    8.1100      0.0394226      0.0387200      0.0546587
    8.1300      0.0386684      0.0402369      0.0545458
    8.1500      0.0408025      0.0430960      0.0544344
    8.1700      0.0455974      0.0458543      0.0543243
    8.1900      0.0509893      0.0501702      0.0542149
    8.2100      0.0532141      0.0532389      0.0541054
    8.2300      0.0602475      0.0554027      0.0539953
    8.2500      0.0561462      0.0569009      0.0538832
    8.2700      0.0564165      0.0574509      0.0537700
    8.2900      0.0584802      0.0561847      0.0536551
    8.3100      0.0559641      0.0541464      0.0535378
    8.3300      0.0539163      0.0516930      0.0534183
    8.3500      0.0459549      0.0482761      0.0532971
    8.3700      0.0441493      0.0443629      0.0531755
    8.3900      0.0413957      0.0409464      0.0530542
    8.4100      0.0363983      0.0391393      0.0529335
    8.4300      0.0368339      0.0379510      0.0528149
    8.4500      0.0369192      0.0371404      0.0526989
    8.4700      0.0382079      0.0379763      0.0525866
    8.4900      0.0373429      0.0394845      0.0524788
    8.5100      0.0405775      0.0406978      0.0523769
    8.5300      0.0443753      0.0425883      0.0522824
    8.5500      0.0429856      0.0454609      0.0521958
    8.5700      0.0476605      0.0486546      0.0521183
    8.5900      0.0517058      0.0510861      0.0520501
    8.6100      0.0565458      0.0540898      0.0519929
    8.6300      0.0565327      0.0565322      0.0519453
    8.6500      0.0580043      0.0575709      0.0519070
    8.6700      0.0598724      0.0579800      0.0518778
    8.6900      0.0568993      0.0572851      0.0518560
    8.7100      0.0585913      0.0563924      0.0518401
    8.7300      0.0530579      0.0539056      0.0518286
    8.7500      0.0535413      0.0525774      0.0518212
    8.7700      0.0474379      0.0517879      0.0518168
    8.7900      0.0502586      0.0533067      0.0518162
    8.8100      0.0546440      0.0552416      0.0518172
    8.8300      0.0606519      0.0602391      0.0518195
    8.8500      0.0632157      0.0657792      0.0518208
    8.8700      0.0724255      0.0726740      0.0518199
    8.8900      0.0779587      0.0797894      0.0518142
    8.9100      0.0891182      0.0877859      0.0518034
    8.9300      0.0962289      0.0944316      0.0517841
    8.9500      0.1031981      0.1005490      0.0517546
    8.9700      0.1056541      0.1049313      0.0517134
    8.9900      0.1085455      0.1056128      0.0516591
    9.0100      0.1110300      0.1040285      0.0515911
    9.0300      0.0996363      0.0997228      0.0515089
    9.0500      0.0952768      0.0933005      0.0514146
    9.0700      0.0841256      0.0837999      0.0513087
    9.0900      0.0764337      0.0753374      0.0511936
    9.1100      0.0635270      0.0657206      0.0510707
    9.1300      0.0573240      0.0568833      0.0509426
    9.1500      0.0471927      0.0488917      0.0508101
    9.1700      0.0399390      0.0423582      0.0506750
    9.1900      0.0364760      0.0364588      0.0505383
    9.2100      0.0308591      0.0321575      0.0504008
    9.2300      0.0278269      0.0293854      0.0502634
    9.2500      0.0256864      0.0268114      0.0501269
    9.2700      0.0260786      0.0247279      0.0499918
    9.2900      0.0236059      0.0240277      0.0498585
    9.3100      0.0204418      0.0237066      0.0497273
    9.3300      0.0243259      0.0231880      0.0496000
    9.3500      0.0240807      0.0233680      0.0494761
    9.3700      0.0234858      0.0240067      0.0493561
    9.3900      0.0245061      0.0244595      0.0492413
    9.4100      0.0236351      0.0253950      0.0491323
    9.4300      0.0265897      0.0272101      0.0490307
    9.4500      0.0287585      0.0289856      0.0489356
    9.4700      0.0325611      0.0315353      0.0488472
    9.4900      0.0333836      0.0343336      0.0487657
    9.5100      0.0363834      0.0376118      0.0486906
    9.5300      0.0405813      0.0408469      0.0486214
    9.5500      0.0451498      0.0451119      0.0485571
    9.5700      0.0487362      0.0494267      0.0484957
    9.5900      0.0547089      0.0538924      0.0484360
    9.6100      0.0579575      0.0574453      0.0483756
    9.6300      0.0629095      0.0603345      0.0483136
    9.6500      0.0629142      0.0617404      0.0482476
    9.6700      0.0631824      0.0617124      0.0481769
    9.6900      0.0617384      0.0603596      0.0481009
    9.7100      0.0578175      0.0578948      0.0480204
    9.7300      0.0561455      0.0544553      0.0479353
    9.7500      0.0505901      0.0506359      0.0478459
    9.7700      0.0459852      0.0468731      0.0477539
    9.7900      0.0426412      0.0426846      0.0476603
    9.8100      0.0390034      0.0402150      0.0475662
    9.8300      0.0352032      0.0375073      0.0474728
    9.8500      0.0382419      0.0351393      0.0473816
    9.8700      0.0324469      0.0337631      0.0472925
    9.8900      0.0308010      0.0333340      0.0472068
    9.9100      0.0321226      0.0318965      0.0471257
    9.9300      0.0330577      0.0321520      0.0470481
    9.9500      0.0310542      0.0325984      0.0469744
    9.9700      0.0337246      0.0322119      0.0469050
    9.9900      0.0330330      0.0321176      0.0468389
   10.0100      0.0301901      0.0323858      0.0467756
   10.0300      0.0325859      0.0321551      0.0467147
   10.0500      0.0323952      0.0315760      0.0466554
   10.0700      0.0325711      0.0324598      0.0465969
   10.0900      0.0301378      0.0333545      0.0465391
   10.1100      0.0346090      0.0348934      0.0464819
   10.1300      0.0370595      0.0373683      0.0464242
   10.1500      0.0400896      0.0409368      0.0463657
   10.1700      0.0449459      0.0445685      0.0463056
   10.1900      0.0479802      0.0480581      0.0462433
   10.2100      0.0527671      0.0516161      0.0461785
   10.2300      0.0545077      0.0545324      0.0461108
   10.2500      0.0578796      0.0561193      0.0460403
   10.2700      0.0595275      0.0567984      0.0459672
   10.2900      0.0559146      0.0568082      0.0458911
   10.3100      0.0561625      0.0558364      0.0458127
