 #r(A)        ρ(r)_raw       ρ_smooth(r)         Base
   31.7500      0.0726706      0.0726607      0.0735299
   31.8500      0.0730702      0.0731257      0.0735246
   31.9500      0.0736363      0.0734973      0.0735166
   32.0500      0.0737854      0.0738409      0.0735051
   32.1500      0.0741010      0.0740623      0.0734896
   32.2500      0.0743004      0.0742698      0.0734695
   32.3500      0.0744080      0.0742927      0.0734448
   32.4500      0.0741696      0.0741443      0.0734156
   32.5500      0.0738553      0.0738335      0.0733822
   32.6500      0.0734756      0.0734751      0.0733451
   32.7500      0.0730943      0.0730585      0.0733048
   32.8500      0.0726055      0.0727715      0.0732617
   32.9500      0.0726145      0.0726994      0.0732162
   33.0500      0.0728782      0.0729906      0.0731682
   33.1500      0.0734790      0.0735699      0.0731169
   33.2500      0.0743526      0.0743828      0.0730614
   33.3500      0.0753167      0.0751743      0.0730004
   33.4500      0.0758536      0.0756680      0.0729326
   33.5500      0.0758335      0.0756712      0.0728571
   33.6500      0.0753265      0.0751250      0.0727734
   33.7500      0.0742151      0.0741615      0.0726816
   33.8500      0.0729430      0.0729223      0.0725824
   33.9500      0.0716090      0.0717334      0.0724767
   34.0500      0.0706482      0.0708522      0.0723655
   34.1500      0.0702995      0.0706456      0.0722494
   34.2500      0.0709892      0.0709614      0.0721285
   34.3500      0.0715954      0.0718095      0.0720018
   34.4500      0.0728439      0.0727073      0.0718688
   34.5500      0.0736826      0.0736400      0.0717283
   34.6500      0.0743934      0.0743327      0.0715797
   34.7500      0.0749222      0.0748156      0.0714223
   34.8500      0.0751313      0.0749287      0.0712560
   34.9500      0.0747326      0.0747168      0.0710806
   35.0500      0.0742866      0.0743638      0.0708966
   35.1500      0.0740722      0.0741132      0.0707039
   35.2500      0.0739807      0.0740534      0.0705026
   35.3500      0.0741074      0.0740944      0.0702920
   35.4500      0.0741949      0.0741887      0.0700717
   35.5500      0.0742637      0.0742257      0.0698411
   35.6500      0.0742186      0.0742279      0.0695999
   35.7500      0.0742016      0.0741682      0.0693479
